,Year,United Kingdom,United States,Russia,China,India
0,1995,21911382398470.1,181635683730488.0,18038428002491.1,40377260791148.1,9082040755425.03
1,1996,22025303696729.3,186610010352561.0,17663976876947.1,45120225184800.4,9603247166235.84
2,1997,22875770336423.2,193257586680028.0,17384062131815.1,48265852761615.6,9999442824086.1
3,1998,23863601921384.9,202753512250571.0,16769789926664.1,52263213189399.9,10388551748282.1
4,1999,24992168294882.6,211019904324515.0,16945371932719.5,56349955811295.4,10901862552754.6
5,2000,26027926753406.3,219830891271382.0,17942135446211.4,59402283797302.8,11592891044334.1
6,2001,27124281514510.8,225214397618763.0,18430024388788.4,62746189311078.8,12051597084967.9
7,2002,27537308469619.5,225460871089387.0,19078759961403.0,68767786751531.3,12140818081135.0
8,2003,28031894164450.9,228561206877708.0,19579112333890.9,74793588815220.4,12885864439531.3
9,2004,28623015178945.8,234658196395732.0,20086382775287.1,80277198447486.3,13514034051622.3
10,2005,29222902877511.7,238779072184308.0,20379384158992.3,89213694442979.8,15230971463221.5
11,2006,29552421246267.2,249327901477596.0,21559607523978.1,98064903236828.9,15958095947020.0
12,2007,31334022641758.9,253952308584228.0,22857669752514.3,111328789610839.0,17133245709050.4
13,2008,33422598766569.0,252027769053409.0,24169065940987.5,113598841781401.0,17945823176967.5
14,2009,31138562108063.2,245482651050563.0,24159764092029.8,129352438413179.0,19494961269550.3
15,2010,29156128176503.3,248904936445970.0,24048033886077.1,139875027080412.0,20829476388116.2
16,2011,29644258363610.8,251904971548219.0,24660132325005.9,152721617427975.0,22323882349804.6
17,2012,30053158364405.1,257504879939696.0,25156571928420.0,166132095695542.0,23449781145201.7
18,2013,30398406705352.5,260019605616406.0,25451456910317.4,179436010393431.0,24666267362415.5
19,2014,30757455833943.0,264500333691377.0,25791718601238.2,192182912458470.0,26273303230142.9
20,2015,30686270654498.9,270541696381348.0,25010231976751.5,204989283123309.0,27289276226741.9
21,2016,32229127529754.0,272753267312209.0,24659523332784.0,216378040941400.0,29232358619361.9
22,2017,32474571376908.3,279636832072612.0,24685765019540.2,228804794945787.0,30860639270657.7
23,2018,32817802649632.2,285002251741223.0,25051600688924.6,242843595397253.0,32600915705864.8
